GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,"Estimate; Total: - Management, business, science, and arts occupations:"
HD02_VD02,"Margin of Error; Total: - Management, business, science, and arts occupations:"
HD01_VD03,"Estimate; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HD02_VD03,"Margin of Error; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HD01_VD04,"Estimate; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HD02_VD04,"Margin of Error; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HD01_VD05,"Estimate; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HD02_VD05,"Margin of Error; Total: - Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HD01_VD06,"Estimate; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HD02_VD06,"Margin of Error; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HD01_VD07,"Estimate; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HD02_VD07,"Margin of Error; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HD01_VD08,"Estimate; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HD02_VD08,"Margin of Error; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HD01_VD09,"Estimate; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HD02_VD09,"Margin of Error; Total: - Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HD01_VD10,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HD02_VD10,"Margin of Error; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HD01_VD11,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations"
HD02_VD11,"Margin of Error; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social service occupations"
HD01_VD12,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HD02_VD12,"Margin of Error; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HD01_VD13,"Estimate; Total: - Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
