question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct
133816,71450,2020,Ohio,399,Rasmussen Reports/Pulse Opinion Research,,,Rasmussen Reports/Pulse Opinion Research,277.0,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,lv,Automated Phone,U.S. President,0,,10/18/20,10/19/20,11/3/20,,False,,,False,False,10/20/20 10:30,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/ohio_biden_48_trump_46,general,6246,Biden,13256,Joseph R. Biden Jr.,DEM,48.0
133816,71450,2020,Ohio,399,Rasmussen Reports/Pulse Opinion Research,,,Rasmussen Reports/Pulse Opinion Research,277.0,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,lv,Automated Phone,U.S. President,0,,10/18/20,10/19/20,11/3/20,,False,,,False,False,10/20/20 10:30,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/ohio_biden_48_trump_46,general,6246,Trump,13254,Donald Trump,REP,47.0
133838,71457,2020,Pennsylvania,399,Rasmussen Reports/Pulse Opinion Research,,,Rasmussen Reports/Pulse Opinion Research,277.0,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,lv,Automated Phone,U.S. President,0,,10/18/20,10/19/20,11/3/20,,False,,,False,False,10/20/20 13:21,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/pennsylvania_biden_50_trump_45,general,6249,Biden,13256,Joseph R. Biden Jr.,DEM,50.0
133838,71457,2020,Pennsylvania,399,Rasmussen Reports/Pulse Opinion Research,,,Rasmussen Reports/Pulse Opinion Research,277.0,Rasmussen Reports/Pulse Opinion Research,C+,800.0,lv,lv,Automated Phone,U.S. President,0,,10/18/20,10/19/20,11/3/20,,False,,,False,False,10/20/20 13:21,,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/pennsylvania_biden_50_trump_45,general,6249,Trump,13254,Donald Trump,REP,47.0
133777,71435,2020,Georgia,1102,Emerson College,1446,NewsNation,Emerson College,88.0,Emerson College,A-,506.0,lv,lv,IVR/Online,U.S. President,0,,10/17/20,10/19/20,11/3/20,,False,,,False,False,10/19/20 20:06,,https://emersonpolling.reportablenews.com/pr/georgia-2020-showdown-in-presidential-and-us-senate-races,general,6221,Biden,13256,Joseph R. Biden Jr.,DEM,47.0
133777,71435,2020,Georgia,1102,Emerson College,1446,NewsNation,Emerson College,88.0,Emerson College,A-,506.0,lv,lv,IVR/Online,U.S. President,0,,10/17/20,10/19/20,11/3/20,,False,,,False,False,10/19/20 20:06,,https://emersonpolling.reportablenews.com/pr/georgia-2020-showdown-in-presidential-and-us-senate-races,general,6221,Trump,13254,Donald Trump,REP,48.4
133810,71446,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,1046.0,lv,lv,Live Phone/Online,U.S. President,0,,10/15/20,10/19/20,11/3/20,,False,,True,False,False,10/20/20 09:05,,https://www.investors.com/news/trump-vs-biden-poll-race-tightens-like-2016-ibd-tipp-2020-presidential-poll/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,48.1
133810,71446,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,1046.0,lv,lv,Live Phone/Online,U.S. President,0,,10/15/20,10/19/20,11/3/20,,False,,True,False,False,10/20/20 09:05,,https://www.investors.com/news/trump-vs-biden-poll-race-tightens-like-2016-ibd-tipp-2020-presidential-poll/,general,6210,Trump,13254,Donald Trump,REP,45.8
133810,71446,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,1046.0,lv,lv,Live Phone/Online,U.S. President,0,,10/15/20,10/19/20,11/3/20,,False,,True,False,False,10/20/20 09:05,,https://www.investors.com/news/trump-vs-biden-poll-race-tightens-like-2016-ibd-tipp-2020-presidential-poll/,general,6210,Jorgensen,14611,Jo Jorgensen,LIB,3.0
133810,71446,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,1046.0,lv,lv,Live Phone/Online,U.S. President,0,,10/15/20,10/19/20,11/3/20,,False,,True,False,False,10/20/20 09:05,,https://www.investors.com/news/trump-vs-biden-poll-race-tightens-like-2016-ibd-tipp-2020-presidential-poll/,general,6210,Hawkins,14612,Howie Hawkins,GRE,0.9
133811,71446,2020,,228,IBD/TIPP,,,IBD/TIPP,144.0,IBD/TIPP,A/B,1046.0,lv,lv,Live Phone/Online,U.S. President,0,,10/15/20,10/19/20,11/3/20,,False,,True,False,False,10/20/20 09:05,,https://www.investors.com/news/trump-vs-biden-poll-race-tightens-like-2016-ibd-tipp-2020-presidential-poll/,general,6210,Biden,13256,Joseph R. Biden Jr.,DEM,49.0
