,Year,Month,Tmax,Tmin,Rain,Sun
0,1957,1,8.7,2.7,39.5,53.0
1,1957,2,9.0,2.9,69.8,64.9
2,1957,3,13.9,5.7,25.4,96.7
3,1957,4,14.2,5.2,5.7,169.6
4,1957,5,16.2,6.5,21.3,195.0
5,1957,6,23.6,10.7,22.4,284.5
6,1957,7,22.5,13.8,87.0,152.3
7,1957,8,21.1,12.5,86.2,154.4
8,1957,9,17.6,10.1,51.7,88.5
9,1957,10,15.5,7.7,47.0,85.9
10,1957,11,9.4,4.3,59.5,67.5
11,1957,12,7.6,1.0,42.1,40.8
12,1958,1,6.8,0.9,64.3,40.1
13,1958,2,8.9,1.9,58.7,45.7
14,1958,3,8.1,1.1,26.0,105.2
15,1958,4,12.3,3.8,29.5,153.2
16,1958,5,17.3,7.8,59.5,189.2
17,1958,6,19.4,10.7,104.3,152.2
18,1958,7,21.7,12.9,51.9,190.5
19,1958,8,20.8,13.1,75.2,103.1
20,1958,9,20.0,12.1,83.8,134.8
21,1958,10,14.9,8.3,50.7,94.2
22,1958,11,9.7,4.4,50.7,40.8
23,1958,12,8.0,2.7,85.1,29.6
24,1959,1,5.7,-1.1,54.8,76.2
25,1959,2,7.4,1.2,2.4,54.8
26,1959,3,11.9,4.4,43.8,103.9
27,1959,4,14.2,6.3,52.9,139.1
28,1959,5,18.7,8.0,21.9,221.4
29,1959,6,22.1,11.1,16.2,231.6
30,1959,7,24.7,13.3,86.5,276.9
31,1959,8,24.2,13.7,27.6,240.0
32,1959,9,22.7,10.6,5.1,209.2
33,1959,10,17.8,8.5,46.9,150.1
34,1959,11,10.8,3.5,53.5,53.0
35,1959,12,9.3,3.0,75.7,30.2
36,1960,1,6.9,1.8,47.9,34.4
37,1960,2,7.9,1.6,48.0,80.1
38,1960,3,10.2,4.5,33.9,65.0
39,1960,4,14.3,4.6,12.4,156.1
40,1960,5,18.4,9.3,45.6,181.7
41,1960,6,22.1,12.1,42.8,248.6
42,1960,7,20.1,12.4,67.2,139.7
43,1960,8,20.3,11.8,60.8,150.9
44,1960,9,18.5,10.5,75.3,128.4
45,1960,10,14.2,8.2,155.5,75.2
46,1960,11,11.2,4.5,89.5,69.4
47,1960,12,6.9,2.1,56.5,44.5
48,1961,1,6.9,1.2,64.4,45.8
49,1961,2,10.3,4.9,55.1,56.0
50,1961,3,13.9,2.9,5.7,166.7
51,1961,4,15.0,7.1,50.8,73.5
52,1961,5,16.8,7.4,17.2,217.2
53,1961,6,21.7,10.5,29.2,229.3
54,1961,7,22.1,12.1,26.2,180.0
55,1961,8,21.7,12.6,47.6,158.8
56,1961,9,20.9,12.0,64.7,125.4
57,1961,10,15.6,7.6,56.8,117.2
58,1961,11,9.9,3.5,52.5,55.6
59,1961,12,6.8,0.2,88.6,46.2
60,1962,1,7.9,1.2,76.1,67.1
61,1962,2,7.6,1.4,12.6,67.1
62,1962,3,7.4,-0.6,35.8,111.4
63,1962,4,12.7,4.7,41.8,142.7
64,1962,5,15.0,7.1,29.6,157.9
65,1962,6,20.4,9.4,6.1,260.5
66,1962,7,20.6,12.1,82.8,135.0
67,1962,8,20.0,11.6,52.9,173.6
68,1962,9,17.8,9.6,88.4,152.0
69,1962,10,15.7,7.1,37.6,114.4
70,1962,11,9.1,3.2,41.7,33.6
71,1962,12,5.0,-1.1,52.8,64.1
72,1963,1,0.8,-4.6,12.9,38.4
73,1963,2,2.8,-2.2,6.6,72.2
74,1963,3,10.7,3.0,68.2,95.9
75,1963,4,13.6,5.7,52.1,123.2
76,1963,5,16.0,6.9,33.7,195.6
77,1963,6,20.8,11.3,48.3,193.4
78,1963,7,21.1,11.9,28.1,196.2
79,1963,8,19.8,11.7,53.4,138.6
80,1963,9,18.0,10.1,49.0,120.9
81,1963,10,14.8,8.2,34.7,85.4
82,1963,11,11.8,6.0,118.8,59.3
83,1963,12,5.4,0.0,16.1,44.1
84,1964,1,5.8,0.4,17.8,37.4
85,1964,2,7.6,2.0,16.8,59.2
86,1964,3,7.6,2.6,95.1,66.8
87,1964,4,12.8,5.4,73.5,126.1
88,1964,5,19.6,9.8,46.1,197.8
89,1964,6,19.3,11.2,110.1,164.1
90,1964,7,22.8,13.5,20.2,219.7
91,1964,8,22.3,12.7,21.2,215.7
92,1964,9,21.1,10.6,11.1,213.7
93,1964,10,13.7,5.3,29.2,126.2
94,1964,11,11.2,5.3,29.6,55.0
95,1964,12,7.1,0.9,29.9,48.6
96,1965,1,6.6,1.0,43.0,72.8
97,1965,2,5.9,0.9,8.3,32.5
98,1965,3,10.5,2.2,58.0,129.7
99,1965,4,13.4,4.8,44.8,138.6
100,1965,5,16.8,8.6,39.5,194.6
101,1965,6,19.7,11.0,54.6,184.7
102,1965,7,19.3,11.7,85.9,129.9
103,1965,8,20.8,11.9,55.9,184.7
104,1965,9,17.4,9.2,109.4,130.0
105,1965,10,16.2,7.5,18.8,129.1
106,1965,11,8.4,2.2,65.4,96.5
107,1965,12,8.4,1.7,87.3,54.0
108,1966,1,5.3,1.0,32.6,40.8
109,1966,2,9.3,4.4,73.4,27.0
110,1966,3,10.9,2.6,12.2,122.6
111,1966,4,12.2,5.4,98.6,88.7
112,1966,5,17.0,7.5,50.5,222.9
113,1966,6,21.8,12.2,66.7,205.4
114,1966,7,20.1,12.2,78.0,161.6
115,1966,8,20.6,11.6,86.2,199.7
116,1966,9,19.6,10.8,36.7,161.4
117,1966,10,14.7,8.6,122.1,81.3
