Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual mean of daily maximum air temperature for UK
Areal series, starting in 1884
Last updated 03-Nov-2020 09:37
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1884    7.3    6.8    8.5   10.1   14.5   17.1   18.8   20.2   17.0   11.8    7.5    5.8     ---   11.02   18.73   12.10   12.14
1885    4.3    7.3    7.2   10.8   11.8   17.0   19.4   16.8   15.0    9.3    7.5    5.9    5.75    9.91   17.76   10.58   11.04
1886    3.7    3.4    6.1   10.5   13.1   16.4   18.7   18.5   16.0   12.9    8.6    4.1    4.36    9.88   17.87   12.51   11.04
1887    4.8    6.9    6.7    9.9   13.0   19.8   20.7   19.1   14.5   10.0    6.6    4.9    5.23    9.88   19.87   10.37   11.44
1888    5.5    3.7    5.2    9.0   14.1   16.3   16.0   16.9   15.4   11.4    8.9    7.1    4.74    9.41   16.38   11.91   10.81
1889    5.8    5.2    7.3    9.4   15.8   19.0   18.1   17.2   15.5   11.1    8.9    6.0    6.05   10.84   18.09   11.82   11.63
1890    7.8    5.5    8.7   10.5   15.2   16.5   17.0   17.2   17.9   12.5    8.3    2.2    6.48   11.48   16.90   12.92   11.65
1891    4.2    8.4    6.4    9.2   12.8   17.9   17.7   16.7   16.8   12.0    7.6    6.6    4.84    9.46   17.42   12.14   11.37
1892    4.3    5.4    5.8   11.6   14.6   16.4   16.9   17.7   14.6    9.4    8.7    4.3    5.43   10.67   16.98   10.88   10.81
1893    4.2    6.5   11.1   14.6   16.4   19.3   19.1   20.3   15.9   12.4    7.2    7.1    4.96   13.99   19.56   11.86   12.88
1894    5.2    7.0   10.2   13.0   12.1   16.6   18.9   16.9   14.6   11.5    9.7    7.0    6.42   11.77   17.47   11.95   11.93
1895    2.1    1.4    7.7   11.3   16.4   18.6   17.9   18.4   19.4    9.9    9.1    5.6    3.56   11.79   18.32   12.77   11.52
1896    6.6    7.3    9.0   12.0   16.5   19.0   19.2   17.1   15.1    9.4    7.2    5.7    6.45   12.51   18.43   10.53   12.01
1897    3.2    7.2    8.3    9.7   13.4   17.7   19.8   19.3   14.9   12.9    9.5    6.8    5.29   10.48   18.95   12.44   11.92
1898    8.1    6.6    7.2   11.5   12.9   16.9   18.7   19.2   18.7   13.4    9.0    8.9    7.20   10.51   18.29   13.69   12.62
1899    6.3    7.5    8.5   10.2   13.1   19.4   20.0   21.7   16.0   12.8   10.7    4.6    7.58   10.60   20.36   13.15   12.59
1900    6.0    4.3    6.0   11.6   13.4   17.7   20.3   18.0   17.0   11.9    8.6    8.7    4.95   10.30   18.68   12.52   12.00
1901    5.5    4.4    6.4   11.9   15.9   17.1   21.2   18.9   16.7   12.1    7.8    5.2    6.25   11.40   19.10   12.20   11.97
1902    6.2    3.8    9.1   10.9   11.6   16.5   17.4   16.9   15.9   11.8    9.0    6.3    5.10   10.52   16.91   12.20   11.31
1903    5.5    8.6    8.9    9.3   13.9   16.2   17.8   16.8   15.8   12.0    8.4    4.8    6.72   10.72   16.94   12.09   11.52
1904    6.0    5.0    6.8   11.3   13.6   16.8   19.6   18.0   15.8   12.4    7.9    6.2    5.28   10.54   18.14   12.03   11.63
1905    6.1    6.9    9.1    9.5   14.5   18.1   20.3   17.4   15.1   10.1    7.2    7.1    6.39   11.06   18.62   10.78   11.82
1906    6.9    5.3    7.5   11.3   12.7   17.7   18.9   19.7   17.8   13.0    9.3    5.3    6.47   10.47   18.76   13.37   12.15
1907    5.6    5.3    9.8   10.4   13.1   14.9   17.2   16.9   17.2   12.1    8.7    6.3    5.43   11.12   16.34   12.68   11.50
1908    5.2    7.3    6.6    8.9   15.2   17.6   18.6   17.6   15.5   14.8    9.8    6.3    6.22   10.27   17.97   13.36   11.97
1909    5.6    5.9    5.6   12.1   14.7   15.0   17.2   18.6   14.8   12.4    7.4    5.5    5.94   10.79   16.98   11.53   11.27
1910    5.3    6.8    9.0    9.8   14.3   17.6   17.0   17.7   15.6   12.7    5.8    7.6    5.85   11.05   17.45   11.38   11.64
1911    5.8    6.8    7.2   10.2   16.4   17.8   21.4   21.1   17.3   11.8    7.8    7.7    6.77   11.29   20.14   12.28   12.66
1912    5.3    7.0    9.2   12.5   14.8   16.3   18.4   15.3   13.9   11.5    7.9    8.3    6.64   12.16   16.65   11.11   11.70
1913    5.9    7.0    8.2   10.5   14.3   17.1   17.6   18.6   16.5   13.2   10.3    6.6    7.04   11.01   17.79   13.33   12.18
1914    5.4    8.7    8.2   13.5   13.9   18.0   18.8   19.3   16.8   12.8    8.9    6.1    6.82   11.83   18.69   12.83   12.53
1915    5.4    6.1    7.8   11.0   14.3   18.0   17.5   18.1   16.6   11.9    5.8    6.5    5.85   11.01   17.87   11.41   11.61
1916    9.0    5.5    5.2   11.3   14.3   14.6   18.2   19.3   15.7   12.6    8.8    4.6    7.05   10.25   17.39   12.37   11.61
1917    2.9    4.0    5.8    8.3   15.7   18.1   19.4   17.9   16.5   10.2    9.7    4.7    3.83    9.98   18.46   12.11   11.14
1918    5.5    8.0    8.6    9.8   16.1   16.9   18.5   18.6   14.0   11.5    8.1    8.2    6.00   11.54   18.02   11.20   12.02
1919    4.8    3.9    5.8   10.2   16.8   17.1   17.2   18.7   15.9   11.0    5.1    6.9    5.67   10.91   17.69   10.67   11.16
1920    6.8    8.2    9.4   10.1   14.6   17.5   16.6   16.5   15.8   13.3    9.5    6.1    7.27   11.38   16.85   12.88   12.04
1921    8.4    7.2    9.4   12.1   14.9   18.2   21.5   17.7   17.2   15.6    7.3    8.6    7.26   12.12   19.14   13.41   13.22
1922    5.5    6.6    7.2    8.8   15.8   16.8   16.2   16.1   14.8   11.2    8.4    7.2    6.90   10.62   16.35   11.46   11.24
1923    7.6    6.8    9.1   10.0   12.0   15.2   19.7   17.8   15.2   11.7    5.8    5.8    7.23   10.35   17.58   10.88   11.42
1924    6.3    5.4    7.2   10.2   13.7   16.4   18.0   16.7   15.3   12.3    9.1    8.4    5.83   10.34   17.04   12.21   11.60
1925    7.1    6.7    7.3   10.3   14.0   18.5   19.9   18.3   14.2   12.9    6.3    4.8    7.45   10.55   18.88   11.15   11.72
1926    6.5    8.1    8.7   12.2   13.1   16.7   19.7   19.2   17.0   10.5    8.0    6.3    6.39   11.32   18.55   11.81   12.18
1927    6.4    6.7    9.4   10.5   14.1   15.1   18.3   18.3   14.7   12.9    8.0    3.5    6.47   11.34   17.25   11.88   11.52
1928    7.2    8.0    7.9   11.0   14.0   15.5   18.7   18.0   16.0   12.5    9.6    5.8    6.18   10.97   17.44   12.71   12.03
1929    3.5    2.9   11.0    9.7   14.8   16.4   19.1   17.8   18.5   11.8    8.8    7.3    4.13   11.86   17.78   13.04   11.87
1930    7.0    4.4    7.5   10.6   13.7   18.6   17.7   18.3   15.8   12.4    8.3    6.3    6.30   10.61   18.21   12.19   11.77
1931    5.3    5.8    6.8   10.1   14.1   16.5   17.6   17.1   14.5   12.0    9.6    7.5    5.81   10.35   17.06   12.04   11.44
1932    8.4    6.1    7.8    9.4   12.9   17.6   18.3   19.6   15.6   11.1    8.4    7.3    7.37   10.02   18.54   11.66   11.90
1933    4.7    6.2   10.5   12.0   14.8   19.0   20.9   20.6   18.3   12.4    7.7    4.2    6.09   12.43   20.18   12.79   12.64
1934    6.9    7.1    7.6   10.3   14.5   18.3   21.5   18.2   17.4   12.3    8.0    8.9    6.03   10.78   19.36   12.58   12.63
1935    6.5    7.4    9.2   10.6   13.9   17.5   20.3   20.0   15.9   11.7    8.5    4.7    7.61   11.22   19.27   12.06   12.21
1936    5.2    4.8    8.9    9.4   14.7   17.9   17.8   19.1   16.7   12.3    8.0    7.4    4.88   11.02   18.26   12.33   11.87
1937    6.9    6.7    5.6   11.4   15.2   17.0   18.4   19.8   16.2   12.7    7.9    4.8    7.02   10.72   18.44   12.26   11.92
1938    7.4    7.0   11.9   11.5   13.7   16.8   17.7   18.8   16.5   12.6   10.6    6.2    6.37   12.37   17.79   13.23   12.59
1939    5.6    7.8    8.2   11.5   14.7   17.9   17.7   19.3   16.9   11.1   10.0    5.3    6.46   11.48   18.29   12.64   12.17
1940    2.0    4.6    8.5   11.1   16.3   20.5   17.8   18.6   15.8   12.0    8.8    6.0    3.93   11.98   18.93   12.20   11.84
1941    2.2    5.3    7.5    9.0   12.7   18.1   20.1   17.3   17.4   12.8    8.7    7.6    4.45    9.74   18.51   12.99   11.60
1942    3.6    3.0    7.5   12.4   14.5   17.6   18.2   18.7   16.1   12.6    7.9    8.4    4.80   11.46   18.18   12.20   11.76
1943    6.4    8.3    9.8   13.3   15.2   17.3   19.3   18.0   15.8   13.3    8.4    6.0    7.69   12.78   18.22   12.51   12.63
1944    7.9    5.7    8.4   12.9   14.5   16.3   18.6   19.9   15.2   11.4    8.0    5.8    6.55   11.92   18.29   11.55   12.08
1945    2.7    8.9   11.0   13.1   15.1   17.2   19.4   18.8   16.8   14.3    9.3    7.2    5.71   13.07   18.48   13.50   12.84
