age worktype education marrital relationship gender capitalgain workhours income
25 Private 11th Never-married Own-child Male 0 40 <=50K
38 Private . Married-civ-spouse Husband , 0 50 <=50K
28 Local-gov Assoc-acdm Married-civ-spouse Husband Male 0 40 >50K
44 Private Some-college Married-civ-spouse Husband . 7688 40 >50K
34 Private 10th Never-married Not-in-family Male 0 30 <=50K
63 . Prof-school . Husband Male 3103 32 .
24 Private Some-college . Unmarried . 0 40 <=50K
55 Private 7th-8th Married-civ-spouse Husband Male 0 10 <=50K
65 Private HS-grad Married-civ-spouse Husband Male 6418 40 >50K
36 Federal-gov Bachelors Married-civ-spouse Husband Male 0 40 <=50K
26 Private HS-grad Never-married Not-in-family Female 0 39 <=50K
48 Private HS-grad Married-civ-spouse Husband . 3103 48 >50K
43 Private . Married-civ-spouse Husband Male 0 50 >50K
20 State-gov Some-college Never-married Own-child Male 0 25 <=50K
43 Private HS-grad Married-civ-spouse Wife Female 0 30 <=50K
37 Private HS-grad Widowed Unmarried Female 0 20 <=50K
40 Private . Married-civ-spouse Husband . 0 45 .
34 Private Bachelors Married-civ-spouse Husband Male 0 47 >50K
34 Private Some-college Never-married Own-child Female 0 35 <=50K
25 Private Bachelors Never-married Not-in-family Male 0 43 <=50K
25 Private Bachelors Married-civ-spouse Husband Male 0 40 <=50K
45 Self-emp-not-inc . Married-civ-spouse Husband . 7298 90 .
22 Private HS-grad Never-married Own-child Male 0 . <=50K
23 Private . Separated Unmarried Male 0 54 <=50K
54 Private HS-grad Married-civ-spouse Husband Male 0 35 <=50K
32 Self-emp-not-inc Some-college Never-married Not-in-family Male 0 60 <=50K
46 State-gov Some-college Married-civ-spouse Husband Male 7688 38 >50K
56 Self-emp-not-inc 11th Widowed Unmarried Female 0 50 <=50K
24 Self-emp-not-inc Bachelors Never-married Not-in-family Male 0 50 .
23 Local-gov Some-college Married-civ-spouse Husband Male 0 40 <=50K
26 Private HS-grad Divorced . Female 0 40 <=50K
36 Local-gov Bachelors Married-civ-spouse Husband Male 0 40 >50K
22 Private 5th-6th Never-married Not-in-family Male 0 50 <=50K
17 Private 10th Never-married Not-in-family Male 0 40 <=50K
20 Private HS-grad Never-married Own-child Male 0 40 .
65 Private Masters Married-civ-spouse Husband Male 0 50 >50K
44 Self-emp-inc Assoc-voc Married-civ-spouse Husband Male 0 45 >50K
36 Private HS-grad Married-civ-spouse Husband Male 0 40 <=50K
29 Private 11th Married-civ-spouse Husband Male 0 40 <=50K
20 State-gov Some-college Never-married Own-child Male 0 32 <=50K
28 . Assoc-voc Married-civ-spouse Wife Female 0 36 >50K
39 Private 7th-8th Married-civ-spouse Husband Male 0 40 <=50K
54 Private Some-college Married-civ-spouse Husband Male 3908 50 <=50K
52 Private 11th Separated Not-in-family Female 0 18 <=50K
56 Self-emp-inc HS-grad Widowed Not-in-family Female 0 50 <=50K
18 Private Some-college Never-married Own-child Male 0 20 <=50K
39 Private HS-grad Divorced Own-child Male 0 40 <=50K
